[2025-11-27T07:57:09.442299+00:00] app_log.INFO: l'utilisateur  s'est déconnecté [] []
[2025-11-27T07:57:45.061992+00:00] app_log.INFO: l'utilisateur admin s'est connecté [] []
[2025-11-27T07:57:55.866836+00:00] app_log.INFO: l'utilisateur  modifie une recette [] []
[2025-11-27T07:58:02.260693+00:00] app_log.INFO: l'utilisateur  enregistre une recette [] []
[2025-11-27T07:59:51.105309+00:00] app_log.INFO: l'utilisateur admin s'est déconnecté [] []
[2025-11-27T07:59:57.829309+00:00] app_log.INFO: l'utilisateur admin s'est connecté [] []
[2025-12-05T09:23:22.030938+00:00] app_log.INFO: l'utilisateur abonne s'est connecté [] []
[2025-12-05T09:23:29.447556+00:00] app_log.INFO: l'utilisateur abonne ajoute une recette [] []
[2025-12-05T09:24:42.423296+00:00] app_log.INFO: l'utilisateur abonne ajoute une recette [] []
[2025-12-05T09:25:26.780823+00:00] app_log.INFO: l'utilisateur abonne ajoute une recette [] []
[2025-12-05T09:25:52.931815+00:00] app_log.INFO: l'utilisateur abonne enregistre une recette [] []
[2025-12-05T09:26:05.514080+00:00] app_log.INFO: l'utilisateur abonne enregistre une recette [] []
[2025-12-05T09:27:46.265943+00:00] app_log.INFO: l'utilisateur abonne ajoute une recette [] []
[2025-12-05T09:27:56.196136+00:00] app_log.INFO: l'utilisateur abonne enregistre une recette [] []
[2025-12-05T09:28:18.303906+00:00] app_log.INFO: l'utilisateur abonne ajoute une recette [] []
[2025-12-05T09:29:24.908099+00:00] app_log.INFO: l'utilisateur abonne enregistre une recette [] []
[2025-12-05T09:29:33.082994+00:00] app_log.INFO: l'utilisateur abonne ajoute une recette [] []
[2025-12-05T09:29:52.581176+00:00] app_log.INFO: l'utilisateur abonne enregistre une recette [] []
[2025-12-05T09:30:47.810506+00:00] app_log.INFO: l'utilisateur admin s'est connecté [] []
[2025-12-05T09:37:51.394665+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
[2025-12-05T09:38:32.558625+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
[2025-12-05T09:38:57.871524+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
[2025-12-05T09:39:10.271025+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
[2025-12-05T09:39:12.172871+00:00] app_log.INFO: l'utilisateur abonne valide une recette [] []
[2025-12-05T09:39:12.235420+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
[2025-12-05T09:39:20.142399+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
[2025-12-05T09:41:43.793380+00:00] app_log.INFO: l'utilisateur abonne approuve une recette [] []
